ID,Block,Treatment,Tilling_Treatment,Crop_Treatment,pH,P,K,Ca,Mg,S,Macronutrients,B,Mn,Zn,Cu,Fe,Micronutrients,Al,Pb,CEC,Ca_Base_Saturation_Perc,Mg_Base_Saturation_Perc,K_Base_Saturation_Perc,ScoopDenisty,OM,NO3-N,NH4+
1_B1.sc,1,stcc,Standard,Cover-Crop,7.9,59.9,512,4580,415,65.3,5632.2,3.5,7.8,0.4,0.2,0.5,12.4,9,0.4,27.6,83,12,5,1.13,3.2,32,2
2_B1.sn,1,stno,Standard,Fallow,7.8,62.7,462,4555,378,95,5552.7,3.5,17.9,0.2,0.3,0.6,22.5,11,0,27.1,84,11,4,1.22,2.7,44,2
3_B1.cc,1,ctcc,Conventional,Cover-Crop,7.9,62.1,420,3923,373,67.9,4846,2.7,8.2,0.2,0.2,0.4,11.7,10,0,23.7,83,13,5,1.23,2.9,21,2
4_B1.cn,1,ctno,Conventional,Fallow,8,65.3,380,3850,393,75.3,4763.6,3,6.9,0.2,0.2,0.4,10.7,11,0,23.4,82,14,4,1.19,2.7,20,2
5_B2.sc,2,stcc,Standard,Cover-Crop,7.7,46.9,485,3439,368,62.6,4401.5,3.1,9.2,0.2,0.2,0.4,13.1,8,0,21.5,80,14,6,1.26,2.9,36,2
6_B2.sn,2,stno,Standard,Fallow,8.3,39.4,334,3520,381,44.8,4319.2,2.5,4.9,0.1,0.2,0.3,8,10,0,21.6,82,14,4,1.22,2.4,6,1
7_B2.cc,2,ctcc,Conventional,Cover-Crop,7.8,42.4,421,2996,406,42.3,3907.7,2.5,6.3,0.2,0.2,0.4,9.6,9,0,19.4,77,17,6,1.15,2.7,17,2
8_B2.cn,2,ctno,Conventional,Fallow,8,45.2,406,2882,378,36.4,3747.6,2.1,4,0.1,0.2,0.2,6.6,8,0,18.5,78,17,6,1.23,2.3,15,1
9_B3.sc,3,stcc,Standard,Cover-Crop,8.1,40.8,345,3258,404,48.9,4096.7,2.8,5.5,0.1,0.2,0.2,8.8,8,0,20.5,80,16,4,1.18,2.6,16,1
10_B3.sn,3,stno,Standard,Fallow,8,47.2,453,3353,369,46.4,4268.6,2.7,8.6,0.1,0.2,0.6,12.2,9,0,20.9,80,14,6,1.27,2.3,24,2
11_B3.cc,3,ctcc,Conventional,Cover-Crop,8,90.3,628,3005,387,41.3,4151.6,3.4,8.3,0.2,0.2,0.5,12.6,7,0,19.8,76,16,8,1.23,2.6,18,2
12_B3.cn,3,ctno,Conventional,Fallow,7.7,67.3,780,2882,409,41.6,30119.9,3.3,7.3,0.2,0.2,0.4,11.4,6,0,19.5,73,17,10,1.15,3.4,36,2